id,title,country,activity_status,adf_cycle,High 5,non_sovereign,recipient_country,tfs_eligible,Approval Date,region,sustainable_development_goals,total_disbursements (UA),Signature Date,environmental_safeguards,total_commitments (UA),Planned Completion Date,country_codes,climate_change,total_commitments_nongov (UA),Completion Date,AfDB Sector,gender,afdb_status,activity_scope,sovereign
P-CD-AB0-007,Democratic Republic of Congo - Rural Economy Integrated Development Support Project (PROADER),Democratic Republic of Congo,Ongoing,ADF-14,Feed Africa,FALSE,CD,TRUE,2019-11-21,Central Africa,None,29714651.080000000,2019-12-23,2,42097947.0,2026-12-31,CD,None,42097947.0,None,Agriculture and Rural Development,None,ADF,Sub-national: Multi-first-level administrative areas,TRUE
P-CD-DB0-012,Democratic Republic of Congo - National Road No.1 Rehabilitation Project: Kinshasa/Ndjili – Batshamba Section,Democratic Republic of Congo,Ongoing,ADF-14,Integrate Africa,FALSE,CD,TRUE,2019-06-26,Central Africa,None,38652572.15,2019-09-26,2,50570000.0,2025-12-31,CD,None,50570000.0,None,Transport,None,ADF,Sub-national: Multi-first-level administrative areas,TRUE
P-CD-A00-007,Democratic Republic of Congo - Project to Support the Development of Agricultural Value Chains in Six Provinces in DRC (PADCA-6P),Democratic Republic of Congo,Ongoing,ADF-14,Feed Africa,FALSE,CD,TRUE,2019-05-28,Central Africa,None,3979733.88,2019-06-13,2,22000000.0,2026-12-31,CD,None,20000000.0,None,Agriculture and Rural Development,None,ADF,Sub-national: Multi-first-level administrative areas,TRUE
P-CD-I00-010,Democratic Republic of Congo - Support Project for Alternative Welfare of Children and Young People Involved in the Cobalt Supply Chain (PABEA-COBALT),Democratic Republic of Congo,Ongoing,ADF-14,Improve Life of People in Africa,FALSE,CD,TRUE,2019-04-17,Central Africa,None,39536668.6,2019-06-13,2,60000000.0,2025-12-30,CD,None,60000000.0,None,Social,None,ADF,Sub-national: Multi-first-level administrative areas,TRUE
P-CD-DA0-003,Democratic Republic of Congo - Priority Air Safety Project Phase II (PPSA II),Democratic Republic of Congo,Ongoing,ADF-14,Integrate Africa,FALSE,CD,TRUE,2018-10-18,Central Africa,None,45663089.95,2018-12-18,2,80000000.0,2026-12-31,CD,None,80000000.0,None,Transport,None,ADF,Sub-national: Multi-first-level administrative areas,TRUE
P-CD-HAB-005,Democratic Republic of the Congo - Rawbank,Democratic Republic of Congo,Ongoing,None,Industrialize Africa,TRUE,CD,TRUE,2018-03-07,Central Africa,None,0.0,2018-12-14,FI-B,22037114.480000000,None,CD,None,22037114.480000000,None,Finance,None,ADF,Sub-national: Multi-first-level administrative areas,FALSE
P-CD-AB0-006,Democratic Republic of Congo - Youth Entrepreneurship in Agriculture and Agri-Business Project,Democratic Republic of Congo,Ongoing,ADF-13,Feed Africa,FALSE,CD,TRUE,2016-12-09,Central Africa,None,31584488.84,2017-03-10,2,41079000.0,2025-12-31,CD,None,40000000.0,None,Agriculture and Rural Development,None,ADF,Sub-national: Multi-first-level administrative areas,TRUE
P-CD-FA0-011,Democratic Republic of Congo - Power Sector Improvement and Governance Support Project ,Democratic Republic of Congo,Ongoing,ADF-13,Light Up and Power Africa,FALSE,CD,TRUE,2016-12-07,Central Africa,None,22724138.84,2017-03-10,2,100665724.0,2026-12-31,CD,None,96100000.0,None,Power,None,ADF,Sub-national: Multi-first-level administrative areas,TRUE
P-CD-EAZ-002,Democratic Republic of Congo - Elaboration of the master plan for the integrated management of urban water (GIEU) of the city of Kinshasa and feasibility study for the supply of drinking water to Kinshasa West,Democratic Republic of Congo,Ongoing,None,Improve Life of People in Africa,FALSE,CD,TRUE,2015-06-26,Central Africa,None,1577376.53,2015-09-14,2,1539029.8,2020-06-30,CD,None,1539029.8,None,Water Supply & Sanitation,None,ADF,Sub-national: Multi-first-level administrative areas,TRUE
P-CD-DB0-009,Democratic Republic of Congo - Project to Develop the Tshikapa-Kamuesha Section of the Tshikapa-Mbuji Mayi Road and Rehabilitate Related Rural Infrastructure,Democratic Republic of Congo,Ongoing,ADF-13,Integrate Africa,FALSE,CD,TRUE,2014-12-17,Central Africa,None,74005111.09,2015-03-26,1,74000000.0,2023-12-31,CD,None,74000000.0,None,Transport,None,ADF,Sub-national: Multi-first-level administrative areas,TRUE
